UPN,N_Y,E_X,Elv_Z,source_file,Source,Date_Scanned,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Data_Scanned 
31210,366078.7555,2256856.058,890.2894995,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31182,366052.1154,2256856.054,890.4549597,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31181,366025.5827,2256856.062,890.7912554,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31180,365998.9236,2256856.057,891.1472968,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31179,365972.3631,2256856.059,891.4658669,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31152,365945.7904,2256856.087,891.5586508,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31153,365919.2158,2256856.091,891.5786874,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
45683,365892.6689,2256856.071,891.1577933,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
42530,366248.4207,2256836.435,889.3380547,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
42531,366226.0899,2256836.444,889.512291,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31197,366203.8929,2256836.475,889.599456,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31211,366177.3003,2256836.452,889.8399977,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31198,366155.0714,2256836.455,889.9725697,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
47849,366130.2452,2256836.457,890.1259096,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31199,366105.2922,2256836.525,890.2385586,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31200,366078.6585,2256836.443,890.3766192,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31201,366052.0669,2256836.476,890.4885938,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31202,366025.4185,2256836.51,890.6604773,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31203,365998.8386,2256836.475,890.8537425,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31204,365972.274,2256836.443,891.2670057,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31205,365945.6684,2256836.474,891.3774757,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
42551,365919.0857,2256836.48,891.1629891,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
42552,365892.5898,2256836.503,890.757299,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4891,366248.5196,2256816.955,889.589512,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4892,366226.2468,2256816.982,889.7381614,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4893,366204.0041,2256816.996,889.8598168,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4874,366177.3787,2256817.009,889.9786939,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4873,366155.1266,2256817.015,890.1542764,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
6025,366130.2405,2256816.972,890.4192568,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4872,366105.2785,2256816.999,890.4208762,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4861,366078.6629,2256816.989,890.4648669,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4853,366051.9638,2256816.98,890.5032982,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4854,366025.4571,2256816.988,890.5557281,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4855,365998.8835,2256817.02,890.8301315,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4856,365972.2856,2256817.0,890.9359976,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4857,365945.7003,2256816.959,891.1378018,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4858,365919.0816,2256817.007,891.0602436,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4859,365892.4739,2256816.954,890.516267,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4877,366248.4665,2256797.511,889.8824364,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4878,366226.1954,2256797.477,889.9293276,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4879,366204.0603,2256797.474,890.202565,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4880,366177.3634,2256797.485,890.2070115,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4881,366155.1335,2256797.473,890.4200743,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
6026,366130.3165,2256797.479,890.4926638,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4882,366105.2731,2256797.468,890.5736335,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4883,366078.7393,2256797.478,890.6908886,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4884,366052.2033,2256797.48,890.667531,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4885,366025.5556,2256797.469,890.7018434,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4886,365998.9602,2256797.495,890.7565686,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4887,365972.3755,2256797.443,890.9781075,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4888,365945.7241,2256797.473,891.0313039,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4889,365919.2088,2256797.466,890.9759292,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4890,365892.6042,2256797.477,890.6220311,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4918,366367.7955,2256699.858,887.6430976,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4919,366341.1655,2256699.895,887.6292357,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4938,366314.6018,2256699.91,887.8103364,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4937,366288.0128,2256699.911,887.9979608,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4936,366261.3078,2256699.948,888.297958,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4935,366234.7266,2256699.911,888.6538693,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4934,366208.1424,2256699.941,888.8912372,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4933,366181.5819,2256699.956,889.1616659,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4932,366155.0206,2256699.931,889.5638,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
6007,366130.2002,2256699.951,889.8753249,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4931,366105.181,2256699.918,889.8338494,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4930,366078.6017,2256699.911,890.0571123,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4929,366052.0201,2256699.9,890.2177075,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4928,366025.452,2256699.947,890.2806889,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4927,365998.8147,2256699.969,890.4851073,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4926,365972.3096,2256699.922,890.7129839,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4925,365945.6857,2256699.897,891.1063317,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4924,365919.0135,2256699.94,891.2957888,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4923,365892.5133,2256699.906,891.3303044,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
42470,366367.7058,2256621.992,887.0092069,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
42471,366341.2824,2256621.984,887.0693978,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34086,366314.6317,2256622.042,886.9550494,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34085,366288.0824,2256622.032,887.0760725,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34084,366261.4555,2256622.024,887.0131799,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34083,366234.8926,2256622.035,887.2454066,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34082,366208.2717,2256622.012,887.5064536,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34081,366181.634,2256622.057,888.0474486,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34080,366155.0895,2256622.061,888.5247479,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
48080,366130.1964,2256621.978,888.7528822,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34079,366105.2441,2256622.035,889.2421293,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34106,366078.6918,2256622.058,889.4691249,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34107,366052.0483,2256622.091,889.7604119,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34108,366025.4881,2256622.063,889.9724987,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34109,365998.8597,2256622.079,890.3677932,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34137,365972.247,2256622.074,890.5015642,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34136,365945.6782,2256622.064,890.5649385,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34135,365919.1669,2256622.089,890.7120982,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
45581,365892.5275,2256622.067,890.6899857,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
42472,366367.7553,2256602.445,886.8603234,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
42473,366341.2026,2256602.476,886.9471171,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34134,366314.6424,2256602.433,886.8893,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34133,366287.9939,2256602.477,886.8276203,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34132,366261.4166,2256602.443,886.994277,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34131,366234.8202,2256602.489,887.1746,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34130,366208.2471,2256602.512,887.4188734,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34129,366181.6325,2256602.464,887.811805,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34128,366155.0894,2256602.533,888.3575459,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
48081,366130.2375,2256602.48,888.7796422,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34127,366105.3026,2256602.48,889.049678,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34126,366078.6916,2256602.455,889.439214,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34125,366052.1169,2256602.487,889.6335148,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34138,366025.4213,2256602.456,890.0524571,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34124,365998.9543,2256602.453,890.3139685,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34122,365972.404,2256602.475,890.4075022,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34121,365945.733,2256602.487,890.5126172,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34120,365919.1967,2256602.461,890.6214,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
45582,365892.4551,2256602.442,890.4814054,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
42489,366367.7076,2256583.036,886.9063103,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
42488,366341.1393,2256582.956,886.8654932,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34119,366314.5787,2256582.945,886.9852,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34118,366287.9871,2256582.98,887.0317907,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34117,366261.4689,2256582.958,887.0992964,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34116,366234.8574,2256582.949,887.1345792,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34115,366208.2367,2256582.983,887.3991956,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34114,366181.6679,2256583.017,887.8113633,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34113,366155.0403,2256582.973,888.1726128,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
48082,366130.1523,2256583.014,888.5797948,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34112,366105.2854,2256583.069,888.9861085,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34111,366078.6435,2256583.005,889.298617,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34110,366052.0754,2256583.001,889.6895311,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34171,366025.4663,2256583.034,889.9712046,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34204,365998.8902,2256583.013,890.2504326,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34298,365972.2625,2256582.967,890.3744256,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34205,365945.7523,2256582.994,890.3959099,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
34296,365919.1359,2256583.012,890.400346,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
45583,365892.4823,2256583.023,890.3592124,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4322,366367.8018,2256563.456,887.780303,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4334,366341.2056,2256563.459,887.5447256,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4344,366314.5893,2256563.496,887.0422143,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4335,366287.9564,2256563.448,886.895966,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4353,366261.3298,2256563.478,887.0160614,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4352,366234.8358,2256563.539,886.8688366,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4351,366208.2671,2256563.49,887.1349535,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4350,366181.6528,2256563.503,887.652539,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4349,366155.0999,2256563.446,887.9968573,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
6015,366130.1037,2256563.476,888.4145341,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4348,366105.237,2256563.469,888.7304556,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4347,366078.7115,2256563.421,889.225292,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4346,366052.0501,2256563.456,889.5061956,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4354,366025.4908,2256563.467,889.9047009,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4345,365998.9134,2256563.469,890.0662126,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4343,365972.265,2256563.453,890.1274,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4342,365945.7263,2256563.458,890.1293108,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4341,365919.148,2256563.415,890.1545812,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4340,365892.4937,2256563.45,890.1582024,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4339,366367.8036,2256543.949,888.0241258,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4338,366341.2268,2256543.934,887.6733043,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4337,366314.6447,2256544.032,887.2204163,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4336,366288.0771,2256543.919,887.1108034,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4399,366261.4804,2256543.955,887.0840826,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4400,366234.8121,2256544.03,887.1334506,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4401,366208.1529,2256543.936,887.2734043,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4402,366181.6015,2256543.983,887.5332775,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4465,366155.0397,2256543.949,888.1335859,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
6014,366130.1413,2256543.963,888.5793498,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4464,366105.22,2256543.936,888.9229601,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4463,366078.6504,2256543.949,889.3415448,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4462,366052.0513,2256543.979,889.6042347,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4461,366025.3662,2256543.97,890.0062532,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4460,365998.9001,2256543.979,890.0042004,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4459,365972.2533,2256543.977,890.1646836,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4458,365945.6341,2256543.991,890.1288188,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4466,365919.1117,2256544.018,890.0996491,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
4457,365892.5717,2256544.013,889.9616093,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
42536,366248.5872,2256505.02,887.0015623,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
42537,366226.2104,2256505.07,887.0628929,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31073,366204.0341,2256505.089,887.1935323,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31074,366177.4064,2256505.096,887.4311313,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31075,366155.1445,2256505.093,887.7207387,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
47859,366130.2279,2256504.947,888.140384,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31076,366105.3357,2256505.098,888.756361,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31077,366078.7672,2256505.028,888.9888291,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31078,366052.2068,2256505.06,889.3638652,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31079,366025.6859,2256505.05,889.5025686,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31080,365998.9783,2256505.052,889.6936786,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31081,365972.4406,2256504.99,889.6103883,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31082,365945.8257,2256505.032,889.5687289,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31083,365919.1805,2256505.039,889.3501741,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
15066,365580.1601,2256914.591,887.4259854,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
47455,366130.1346,2256738.97,890.4456721,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
45634,365892.6194,2256505.091,889.2533412,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
42534,366248.6098,2256485.518,887.071053,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
25222,366105.222,2256739.046,890.4938236,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
42535,366226.2857,2256485.524,887.0608672,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
25221,366082.9824,2256738.999,890.5746897,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31062,366204.0097,2256485.51,886.9281374,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31063,366177.377,2256485.529,887.2562806,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
25220,366056.4174,2256739.013,890.582414,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31064,366155.1781,2256485.528,887.4287446,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
41367,366034.1671,2256739.012,890.7063526,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
47875,366130.211,2256485.461,887.7288852,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
41366,366011.8539,2256739.006,890.782468,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31065,366105.355,2256485.557,888.1890923,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
41373,366367.8172,2256719.49,888.2658196,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31066,366078.708,2256485.547,888.6697962,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
41372,366341.148,2256719.505,888.3804867,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31067,366052.1303,2256485.543,888.9313834,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
25176,366314.631,2256719.504,888.5379975,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
31068,366025.6497,2256485.557,889.1894011,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
25175,366287.958,2256719.504,888.8040073,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
15065,365553.5835,2256914.614,887.1606284,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
25174,366261.4407,2256719.491,889.071481,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
15064,365526.9492,2256914.595,886.9930044,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
25173,366234.8792,2256719.496,889.347466,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
25200,366208.245,2256719.53,889.6059295,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
15063,365500.4455,2256914.548,887.0494474,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
25201,366181.6401,2256719.495,889.6568403,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
15062,365473.8647,2256914.593,886.8253595,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
25202,366155.0625,2256719.48,889.9854333,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
15061,365447.2349,2256914.543,886.8159418,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
47456,366130.1274,2256719.481,890.1839612,BS_INV-28_S01.csv,BS_INV-28_T_S01,,,,,,,,,,,1/28/2026
