UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned
500265,365899.623,2258253.848,894.095,BS_INV_30_T_S02,1/31/2026
500266,365899.613,2258262.795,894.109,BS_INV_30_T_S02,1/31/2026
500267,365899.584,2258268.034,894.243,BS_INV_30_T_S02,1/31/2026
500268,365899.583,2258273.266,894.18,BS_INV_30_T_S02,1/31/2026
500269,365899.572,2258280.756,894.143,BS_INV_30_T_S02,1/31/2026
500270,365899.551,2258286.785,894.298,BS_INV_30_T_S02,1/31/2026
500271,365903.297,2258286.749,894.281,BS_INV_30_T_S02,1/31/2026
500272,365903.221,2258280.746,894.21,BS_INV_30_T_S02,1/31/2026
500273,365903.228,2258273.22,894.105,BS_INV_30_T_S02,1/31/2026
500274,365903.234,2258267.942,894.117,BS_INV_30_T_S02,1/31/2026
500275,365903.245,2258262.623,894.127,BS_INV_30_T_S02,1/31/2026
500276,365903.246,2258253.815,894.003,BS_INV_30_T_S02,1/31/2026
