UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned
500181,365854.477,2260031.89,889.036,BS_INV_19_B_S06,1/6/2025
500182,365854.463,2260040.63,889.147,BS_INV_19_B_S06,1/6/2025
500183,365854.515,2260045.95,889.006,BS_INV_19_B_S06,1/6/2025
500184,365854.56,2260051.08,888.996,BS_INV_19_B_S06,1/6/2025
500185,365854.519,2260058.65,889.068,BS_INV_19_B_S06,1/6/2025
500186,365854.532,2260064.67,889.079,BS_INV_19_B_S06,1/6/2025
500187,365858.135,2260064.61,889.105,BS_INV_19_B_S06,1/6/2025
500188,365858.165,2260058.61,888.877,BS_INV_19_B_S06,1/6/2025
500189,365858.169,2260051.1,889.01,BS_INV_19_B_S06,1/6/2025
500190,365858.185,2260046.05,889.129,BS_INV_19_B_S06,1/6/2025
500191,365858.165,2260040.66,889.095,BS_INV_19_B_S06,1/6/2025
500192,365858.023,2260031.78,888.937,BS_INV_19_B_S06,1/6/2025
